dataname,auditor_idx,vulnerability,function_name
2018-12975,1,The mint function does not check if the sender has enough gold to mint the specified amount of gold.,mint
2018-12975,2,The mint function does not update the total supply of gold.,mint
2018-12975,3,The mint function does not emit a Mint event.,mint
2018-12975,4,The mint function does not emit a Transfer event.,mint
2018-12975,5,The mint function does not check if the sender has enough gold to mint the specified amount of gold.,mint
2018-12975,6,The mint function does not check if the sender has enough gold to mint the specified amount of gold.,mint
2018-12975,7,The mint function does not check if the sender has enough gold to mint the specified amount of gold.,mint
2018-12975,8,The mint function does not check if the sender has enough gold to mint the specified amount of gold.,mint
2018-12975,9,The mint function does not check if the sender has enough gold to mint the specified amount of gold.,mint
2018-12975,10,The mint function does not check if the sender has enough gold to mint the specified amount of gold.,mint
2018-12975,11,The mint function does not check if the sender has enough gold to mint the specified amount of gold.,mint
2018-12975,12,The mint function does not check if the sender has enough gold to mint the specified amount of gold.,mint
2018-12975,13,The mint function does not check if the sender has enough gold to mint the specified amount of gold.,mint
2018-12975,14,The mint function does not check if the sender has enough gold to mint the specified amount of gold.,mint
2018-12975,15,The mint function does not check if the sender has enough gold to mint the specified amount of gold.,mint
2018-12975,16,The mint function does not check if the sender has enough gold to mint the specified amount of gold.,mint
2018-12975,17,The mint function does not check if the sender has enough gold to mint the specified amount of gold.,mint
2018-12975,18,The mint function does not check if the sender has enough gold to mint the specified amount of gold.,mint
2018-12975,19,The mint function does not check if the sender has enough gold to mint the specified amount of gold.,mint
2018-12975,20,The mint function does not check if the sender has enough gold to mint the specified amount of gold.,mint
2018-12975,21,The mint function does not check if the sender has enough gold to mint the specified amount of gold.,mint
2018-12975,22,The mint function does not check if the sender has enough gold to mint the specified amount of gold.,mint
2018-12975,23,The mint function does not check if the sender has enough gold to mint the specified amount of gold.,mint
2018-12975,24,The mint function does not check if the sender has enough gold to mint the specified amount of gold.,mint
2018-12975,25,The mint function does not check if the sender has enough gold to mint the specified amount of gold.,mint
2018-12975,26,The mint function does not check if the sender has enough gold to mint the specified amount of gold.,mint
